img_name,algorithm,Background_px,Background_pct,Buildings_px,Buildings_pct,Woodlands_px,Woodlands_pct,Water_px,Water_pct,Roads_px,Roads_pct,total_px
N-34-140-A-d-3-4.tif,SSFCM,298042,29.8,182516,18.25,204365,20.44,194047,19.4,121030,12.1,1000000
N-34-140-A-d-3-4.tif,GT,677489,67.75,10155,1.02,292814,29.28,2233,0.22,17309,1.73,1000000
N-34-140-A-d-4-2.tif,SSFCM,324746,32.47,179516,17.95,199638,19.96,218263,21.83,77837,7.78,1000000
N-34-140-A-d-4-2.tif,GT,769957,77.0,13193,1.32,174582,17.46,1056,0.11,41212,4.12,1000000
N-34-61-B-a-1-1.tif,SSFCM,218931,21.89,174046,17.4,256764,25.68,231456,23.15,118803,11.88,1000000
N-34-61-B-a-1-1.tif,GT,507745,50.77,30691,3.07,363655,36.37,62501,6.25,35408,3.54,1000000
N-34-66-C-c-4-3.tif,SSFCM,157344,15.73,158200,15.82,252176,25.22,294427,29.44,137853,13.79,1000000
N-34-66-C-c-4-3.tif,GT,365304,36.53,2265,0.23,433443,43.34,192274,19.23,6714,0.67,1000000
N-34-77-A-b-1-4.tif,SSFCM,229533,22.95,177063,17.71,264367,26.44,152377,15.24,176660,17.67,1000000
N-34-77-A-b-1-4.tif,GT,434002,43.4,547,0.05,510279,51.03,48399,4.84,6773,0.68,1000000
N-34-94-A-b-2-4.tif,SSFCM,246294,24.63,215238,21.52,235405,23.54,154981,15.5,148082,14.81,1000000
N-34-94-A-b-2-4.tif,GT,599154,59.92,1236,0.12,385165,38.52,9476,0.95,4969,0.5,1000000
N-34-97-C-b-1-2.tif,SSFCM,361685,36.17,218895,21.89,102891,10.29,171527,17.15,145002,14.5,1000000
N-34-97-C-b-1-2.tif,GT,543138,54.31,115649,11.56,94406,9.44,79764,7.98,167043,16.7,1000000
N-34-97-D-c-2-4.tif,SSFCM,125740,12.57,146076,14.61,404861,40.49,217897,21.79,105426,10.54,1000000
N-34-97-D-c-2-4.tif,GT,236824,23.68,575,0.06,524313,52.43,227368,22.74,10920,1.09,1000000

--- SUMMARY ---
img_name,algorithm,Background_px,Background_pct,Buildings_px,Buildings_pct,Woodlands_px,Woodlands_pct,Water_px,Water_pct,Roads_px,Roads_pct,total_px
MEAN,SSFCM,235556.3,23.56,173226.6,17.32,248530.1,24.85,212964.5,21.3,129722.4,12.97,1000000.0
STD,SSFCM,105061.2,,43570.2,,89175.3,,55966.7,,56696.2,,
MEAN,GT,548446.0,54.84,23809.7,2.38,344429.1,34.44,65208.8,6.52,18106.4,1.81,1000000.0
STD,GT,239745.4,,50395.6,,237326.0,,96669.9,,26644.0,,
